issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"To restore your access to the Claude team workspace, please refer to our support page for more information on account management and access. For further details, please visit our support page or contact our team.",Account Management,replied,product_issue,"I chose the 'replied' status because the retrieved document 'How can I access the personal information that Anthropic has on my account?' provides some context, with a retrieval confidence level of 32.91. However, the provided chunks do not fully address the user's question, so I'm providing a partial answer and recommending further support."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Your request has been escalated to our support team. Candidate requesting recruiter-level actions: cannot intervene in hiring decisions. Escalating to human agent.,General Support,escalated,product_issue,Escalated by safety layer: Candidate requesting recruiter-level actions: cannot intervene in hiring decisions. Escalating to human agent.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Your request has been escalated to our support team. Refund requests require human authorization,General Support,escalated,product_issue,Escalated by safety layer: Refund requests require human authorization
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Your request has been escalated to our support team. Refund requests require human authorization,General Support,escalated,product_issue,Escalated by safety layer: Refund requests require human authorization
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,,,escalated,product_issue,"I chose the escalated status because the retrieved chunks, such as 'API Overview' and 'SkillUp Employee Platform', do not contain relevant information to address the user's payment issue, with a retrieval confidence level of 15.18. The user's issue is related to a payment problem, which is not covered in the provided chunks."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Your request has been escalated to our support team. Enterprise security processes require human handling,General Support,escalated,product_issue,Escalated by safety layer: Enterprise security processes require human handling
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"It seems like you're having trouble with submissions not working and can't see the apply tab. For issues related to test content and submissions, please ensure that candidates refresh the page to see any changes made to the test. If you're still experiencing issues, consider checking the support page for more information on editing and managing test content.",HackerRank Library,replied,product_issue,"I chose the 'replied' status based on the document 'I made changes to Test content. When does it take effect for the Candidates?' with a retrieval confidence level of 25.58, which provides some guidance on test content management, although it does not directly address the 'apply tab' issue."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"For issues with submissions not working across challenges, we recommend checking your internet connection and ensuring you are in a quiet, distraction-free environment. For further assistance, please contact our support team.",System Design Mock Interview,escalated,bug,"I chose to escalate this issue as the retrieved chunks, such as 'System Design Mock Interview Prerequisites', did not provide a direct solution to the user's problem, with a retrieval confidence level of 16.94, which is below the threshold. The provided information was not sufficient to address the user's issue with submissions not working."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"It seems like you're experiencing issues with Zoom connectivity during a compatibility check. Although the provided context doesn't directly address Zoom connectivity, it does discuss test configurations and troubleshooting. For further details on resolving connectivity issues, please visit our support page or contact our team.",Test Configuration,replied,product_issue,"I chose the 'replied' status because the retrieval confidence level is high (BM25 score: 49.87), drawing from documents like 'I made changes to Test content. When does it take effect for the Candidates?' and other test configuration guides. However, since the context doesn't fully address the Zoom connectivity issue, I'm providing a partial answer and recommending further support."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule your HackerRank assessment, you can follow these steps: Log in to your HackerRank for Work account, go to the Interviews > Interview List, click the interview you want to reschedule, and then click Invite Participants to update the time. For further details or assistance with rescheduling, please visit our support page or contact our team.",Interviews,replied,product_issue,"I chose the 'replied' status and 'product_issue' request_type based on the high retrieval confidence level of 54.07 from the document 'Rescheduling an Interview Prerequisites Rescheduling an Interview', which provides relevant guidance on rescheduling interviews. The user's question is related to rescheduling an assessment, which aligns with the product issue category."
